"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","登录模块","4","0","登录接口","0"
"0","","0","首页4个数据","1","0","首页4个数据接口","0"
